scan_id,file_path,type,status,risk,score,sha256,sha256_prev,ssdeep,ssdeep_prev,phash,origin
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/18.JPG,image,intact,ok,100.0,051a17ad473ff3d0dc72d6347786ab66bc764cbfec330f5ebda0c888543dd599,051a17ad473ff3d0dc72d6347786ab66bc764cbfec330f5ebda0c888543dd599,98304:HpRA1DFwZ5x7BYW1Bl7C0d2j645c5oMaM:JyhFYxqW1Blu02GWqb,98304:HpRA1DFwZ5x7BYW1Bl7C0d2j645c5oMaM:JyhFYxqW1Blu02GWqb,b3b988444eee6e07,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/26.JPG,image,intact,ok,100.0,01c52e1bc1fabed28ff906c1e944db07c862c5625c2bd316a650b4c2ad4cf57f,01c52e1bc1fabed28ff906c1e944db07c862c5625c2bd316a650b4c2ad4cf57f,49152:/8F22LpvQmcfTq/kf/dZFHETJQpOMoj+b0xA//ICBKSnI2cRNke/Ob9Ddmd6:UT9QmSTq/id/EWgjkhwaPdqWm8,49152:/8F22LpvQmcfTq/kf/dZFHETJQpOMoj+b0xA//ICBKSnI2cRNke/Ob9Ddmd6:UT9QmSTq/id/EWgjkhwaPdqWm8,81afdf528018ded6,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/8.JPG,image,intact,ok,100.0,f77d049308f20ec11799eb1a09919ebf327866e0851d4b539d4aa5168adff808,f77d049308f20ec11799eb1a09919ebf327866e0851d4b539d4aa5168adff808,98304:S1r9YcdWDKJZazKBXBxzD506T3igtJpCCNMi:Sp9js+iYXvf3xCCNF,98304:S1r9YcdWDKJZazKBXBxzD506T3igtJpCCNMi:Sp9js+iYXvf3xCCNF,d5d5e6aa2a6a40d5,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/6.JPG,image,intact,ok,100.0,3808a96375e37d7565f4a1145576abdd34abd224aedd57dca24ca4c155af5c70,3808a96375e37d7565f4a1145576abdd34abd224aedd57dca24ca4c155af5c70,98304:Xxw8+VXVikWa/uJq7rPxprIRL0VOnHIg93chZDwk2:X+8+VXokZGgH7rIRLyEoAchBj2,98304:Xxw8+VXVikWa/uJq7rPxprIRL0VOnHIg93chZDwk2:X+8+VXokZGgH7rIRLyEoAchBj2,dbca94b62264d89b,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/7.JPG,image,intact,ok,100.0,199ecb15fdaa283d1cb678dd25d5c695abbb59b8a1f916072123459209f40a50,199ecb15fdaa283d1cb678dd25d5c695abbb59b8a1f916072123459209f40a50,98304:3OFQwEF9NKtRyyRIJIjLeOS406JjKWXa21DRlNF68ul42g4OXTLORyP:eS3NKry+neRTglva8Y42g46PZP,98304:3OFQwEF9NKtRyyRIJIjLeOS406JjKWXa21DRlNF68ul42g4OXTLORyP:eS3NKry+neRTglva8Y42g46PZP,8f87e1f0701cbcd2,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/41.JPG,image,intact,ok,100.0,dfd0a1cad5fed20d0448cb385390842c5c96315ce6df118370af0437a387f070,dfd0a1cad5fed20d0448cb385390842c5c96315ce6df118370af0437a387f070,49152:866NzsfXh0EmbrhlvPZ5b7e25tE4ZCrrDk4/D1eeoufzbfDVF:Rssp0EmblljeStEbrn/Reeoab5F,49152:866NzsfXh0EmbrhlvPZ5b7e25tE4ZCrrDk4/D1eeoufzbfDVF:Rssp0EmblljeStEbrn/Reeoab5F,c484b8fb7b1c84a7,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/43.JPG,image,intact,ok,100.0,eafaa69bf0a4f63bc1c0e082b75f9614029f91376866a3eade66452d246ed097,eafaa69bf0a4f63bc1c0e082b75f9614029f91376866a3eade66452d246ed097,98304:q4u0pCVhIce2/HSZdadMjqAQx10d2duYytkQNnU:tp0nHS7tjPQAd2duDWKU,98304:q4u0pCVhIce2/HSZdadMjqAQx10d2duYytkQNnU:tp0nHS7tjPQAd2duDWKU,9088ec677f091ff0,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/28.JPG,image,intact,ok,100.0,738c9978bdecabdc2347fa01765a9424389b54077a8d33ab76d80dd060166191,738c9978bdecabdc2347fa01765a9424389b54077a8d33ab76d80dd060166191,98304:SVS5rp655ndadLgNNICKoMl8FKr4NcjHWLO4pgX:QS5p6PnAd3vAWWeH0q,98304:SVS5rp655ndadLgNNICKoMl8FKr4NcjHWLO4pgX:QS5p6PnAd3vAWWeH0q,88e88fcd2d177ae0,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/49.JPG,image,intact,ok,100.0,b9c9799b010fa4c7a1725a12c9e54e3899e82bb6b1bf95c14f844d78eb279ace,b9c9799b010fa4c7a1725a12c9e54e3899e82bb6b1bf95c14f844d78eb279ace,98304:czDhCp8UsKgsGbptb9uV2FMufFdNuqE7msRdnXmvAK6F4sCF1qx671M388Es7Db4:gDEaZK4bb9uMMeCqUTnWvJ7vm67a3blg,98304:czDhCp8UsKgsGbptb9uV2FMufFdNuqE7msRdnXmvAK6F4sCF1qx671M388Es7Db4:gDEaZK4bb9uMMeCqUTnWvJ7vm67a3blg,9595ac6b6b531634,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/27.JPG,image,intact,ok,100.0,1c70c6c71a18aac4410ac1af448deb1adae8f5bb6e9e4645cbca1a22e12f9f18,1c70c6c71a18aac4410ac1af448deb1adae8f5bb6e9e4645cbca1a22e12f9f18,98304:w1+X04K9sZ7gURFiAbOlysuBiqgedkCR9bcl5oYkTW/XmRKZ:znwe7gwgu4ysvcWgbc8YkTW/2Ri,98304:w1+X04K9sZ7gURFiAbOlysuBiqgedkCR9bcl5oYkTW/XmRKZ:znwe7gwgu4ysvcWgbc8YkTW/2Ri,d1def0e0e685186d,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/19.JPG,image,intact,ok,100.0,afd0f1b0c1cc01cdb31332c0ea6949b1a7998284c0954529fafb5fda7fd88032,afd0f1b0c1cc01cdb31332c0ea6949b1a7998284c0954529fafb5fda7fd88032,98304:KkagzU3+Qfa0DLGf1X9ZSWjnMnYaedrPs:KkYbhDL8vbwY/drs,98304:KkagzU3+Qfa0DLGf1X9ZSWjnMnYaedrPs:KkYbhDL8vbwY/drs,c9d5b6b4242de8ca,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/29.JPG,image,intact,ok,100.0,1d13059861cca609a4f8d93fa5cbeb964ae4db0fd72ea778432135d277dc9425,1d13059861cca609a4f8d93fa5cbeb964ae4db0fd72ea778432135d277dc9425,49152:UIyxnSfc8VGNgBqfQDFUYS7QUlmekZ9JOBW+2Q6TNDKcUk+4CXD7HtDDfYzn1+:UvSf/cNgm9kmtkZ3OBWJycUkZozdDmns,49152:UIyxnSfc8VGNgBqfQDFUYS7QUlmekZ9JOBW+2Q6TNDKcUk+4CXD7HtDDfYzn1+:UvSf/cNgm9kmtkZ3OBWJycUkZozdDmns,a1e9ca1a36e6ce19,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/17.JPG,image,intact,ok,100.0,26d4798567864711aa8300864a05e5e52c4f48b2e118ca217809fbcf7f38304c,26d4798567864711aa8300864a05e5e52c4f48b2e118ca217809fbcf7f38304c,49152:B6Hw1lfKWjW03aqciYitoYJIR2X6wR3AKPAnnzXblHr56HVUHuzm5NG8zoCK72i3:B6HCjJ37XTzqcqwRwakBHrDCm5I8zlM,49152:B6Hw1lfKWjW03aqciYitoYJIR2X6wR3AKPAnnzXblHr56HVUHuzm5NG8zoCK72i3:B6HCjJ37XTzqcqwRwakBHrDCm5I8zlM,a7f7da9c0d81d058,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/40.JPG,image,intact,ok,100.0,1f5f899bb121abcd8febaa262193e161b8e2a7d74b280a51af8aefd8f3dbbf9a,1f5f899bb121abcd8febaa262193e161b8e2a7d74b280a51af8aefd8f3dbbf9a,49152:MpHpYP7ku9xL36gvuirAxj/zRTVcZSB3F9Po+BG71MOKp2ef:M0dGgvExjbRTVcZSZF9PoSSRGx,49152:MpHpYP7ku9xL36gvuirAxj/zRTVcZSB3F9Po+BG71MOKp2ef:M0dGgvExjbRTVcZSZF9PoSSRGx,c484b8fb7b1c84a7,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/4.JPG,image,intact,ok,100.0,9b60a69dfdf7dd1bcfe7d1e750c026d45e86a185ada4511a2c4be6668370381e,9b60a69dfdf7dd1bcfe7d1e750c026d45e86a185ada4511a2c4be6668370381e,98304:+t2hoZcBlxGqIZUPBKIS7u7BZ3zfjyFngKiMGEtPmDgoLsIemxWbxxx+o+Jwvetb:+U2yltIZUPBBv7fjrWgKnGEtPmHL6msM,98304:+t2hoZcBlxGqIZUPBKIS7u7BZ3zfjyFngKiMGEtPmDgoLsIemxWbxxx+o+Jwvetb:+U2yltIZUPBBv7fjrWgKnGEtPmHL6msM,98b0c0d05b7b67ad,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/23.JPG,image,intact,ok,100.0,f28eae34e310efe8617a15c0432babeaf31a0ec4c0fd636cf44bf7d851da0660,f28eae34e310efe8617a15c0432babeaf31a0ec4c0fd636cf44bf7d851da0660,98304:rnSz9Vci5tUp7DYWITDEPz4qe31wHuIrsDKb6BLz4N9aTs8v78dbD5hoE:zq5tQQ/EEqeyJsDKbyz4N9aTs8gR5B,98304:rnSz9Vci5tUp7DYWITDEPz4qe31wHuIrsDKb6BLz4N9aTs8v78dbD5hoE:zq5tQQ/EEqeyJsDKbyz4N9aTs8gR5B,8da0c387b337b2c6,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/37.JPG,image,intact,ok,100.0,3314629dbd29cb20288677690c99aa23c37c975ac461721016e881560aa71d8c,3314629dbd29cb20288677690c99aa23c37c975ac461721016e881560aa71d8c,49152:egUEPxJrFmEn7fz2ggv5HOFBUmCI46vhJvxPQW2lzDKvSnl7L3BPC6/37ktBB8TB:egBpJRmAz25l4BbE65DPQWadF7lCINTB,49152:egUEPxJrFmEn7fz2ggv5HOFBUmCI46vhJvxPQW2lzDKvSnl7L3BPC6/37ktBB8TB:egBpJRmAz25l4BbE65DPQWadF7lCINTB,c484b8fb7b1c88a7,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/12.JPG,image,intact,ok,100.0,8dca170329b9642568632d1a0565f73d36672649abc29ad7c32feed9b0b01fbe,8dca170329b9642568632d1a0565f73d36672649abc29ad7c32feed9b0b01fbe,49152:/EaYemUTeJu4EYPEFaUXsC/C54ACTNtSYkHS/kXn+1lH6M000rfytSu630N6cOfc:/EaYiiCTNtHFfH5mytn80N++Q4j,49152:/EaYemUTeJu4EYPEFaUXsC/C54ACTNtSYkHS/kXn+1lH6M000rfytSu630N6cOfc:/EaYiiCTNtHFfH5mytn80N++Q4j,94f4a30b68d4d4af,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/46.JPG,image,intact,ok,100.0,8f867bc667bd26486a725592462563b6fe2ef475f94c9dad8a1db15f4e3a899f,8f867bc667bd26486a725592462563b6fe2ef475f94c9dad8a1db15f4e3a899f,98304:FlgtneyBLbwQqwkg8nuVLzfGcnXyPbdxRNJ4g3MoMgPXevK:FloF1bwQqwO0XQT1fJcaPevK,98304:FlgtneyBLbwQqwkg8nuVLzfGcnXyPbdxRNJ4g3MoMgPXevK:FloF1bwQqwO0XQT1fJcaPevK,8f8db272784cc993,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/36.JPG,image,intact,ok,100.0,b94924b845ac6310a03059040f20f660cb3836921e671b5f77ae312e7a5fadd4,b94924b845ac6310a03059040f20f660cb3836921e671b5f77ae312e7a5fadd4,196608:ECARGt5InkSKXRYu+idvj7N/m31ytAs+9:EAyXKD+idPN/m3uS,196608:ECARGt5InkSKXRYu+idvj7N/m31ytAs+9:EAyXKD+idPN/m3uS,94cdccb2b13137b2,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/31.JPG,image,intact,ok,100.0,d1b770d6397a0d37c30d38179bca5756fc37e0a409c4fb2a963d0796d1ca12cc,d1b770d6397a0d37c30d38179bca5756fc37e0a409c4fb2a963d0796d1ca12cc,98304:ssze6pfIX1xNQXgCbCNgs7lmxs3oje30pK:Teaa1xIgPNf7lm1q3,98304:ssze6pfIX1xNQXgCbCNgs7lmxs3oje30pK:Teaa1xIgPNf7lm1q3,917fc17f2a819e50,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/53.JPG,image,intact,ok,100.0,583df20eb91f261e7fb1d8d2fa6979a2f8adc6c7927dabb69f6567081dac86da,583df20eb91f261e7fb1d8d2fa6979a2f8adc6c7927dabb69f6567081dac86da,98304:TSdLYyM86GoVZEkVf0fCbVe7wvP1Dl38bfB7RvSubY47a:TSdLYK6GoXxcZwvP1J3UR6+Y47a,98304:TSdLYyM86GoVZEkVf0fCbVe7wvP1Dl38bfB7RvSubY47a:TSdLYK6GoXxcZwvP1J3UR6+Y47a,c999a9e63675514a,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/22.JPG,image,intact,ok,100.0,30ac19aa93cff058ed0f13790ca182e1fc01a727c73d11bd1b4e0de77e25faad,30ac19aa93cff058ed0f13790ca182e1fc01a727c73d11bd1b4e0de77e25faad,49152:7s0KfdPdR9OzTGRk2xylzXHOOxNYERL7ePToL2cO6aqupedBn:g0udj9oTWxqXuOxN7L7ei2cO6NPn,49152:7s0KfdPdR9OzTGRk2xylzXHOOxNYERL7ePToL2cO6aqupedBn:g0udj9oTWxqXuOxN7L7ei2cO6NPn,e4d4991b4a753565,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/38.JPG,image,intact,ok,100.0,33be34aed0ea348c68f39d6447df0b672408f96bb6bea030a71653be5cb446b3,33be34aed0ea348c68f39d6447df0b672408f96bb6bea030a71653be5cb446b3,49152:JUFKJNyIMRr+Aig70JQeTk32tzCbSk0P1+kHEX+gtemOFa0/rJmL5Y:D7P8+y704SA0d+/X+g8mO9U6,49152:JUFKJNyIMRr+Aig70JQeTk32tzCbSk0P1+kHEX+gtemOFa0/rJmL5Y:D7P8+y704SA0d+/X+g8mO9U6,c484b8fb7b1c88a7,ai_or_synthetic
6d21ae07-851d-4eec-b2f8-de961e024e4d,/home/devadharshini/Downloads/test1/34.JPG,image,intact,ok,100.0,986ba1c5b0afee85cc17663e8c4873d53ab96fc753715642bb5f578edcb6d8d3,986ba1c5b0afee85cc17663e8c4873d53ab96fc753715642bb5f578edcb6d8d3,49152:lbEv6VA+zhgGGRrOVdFlNauZ8sbn4opgoagF1q9vBzzVdrJ653DfPVC8w4CZuTId:G6iadcAXCpsTzkeCvBdlJa3LP8mnyIPc,49152:lbEv6VA+zhgGGRrOVdFlNauZ8sbn4opgoagF1q9vBzzVdrJ653DfPVC8w4CZuTId:G6iadcAXCpsTzkeCvBdlJa3LP8mnyIPc,9d83c2f0f53f5842,ai_or_synthetic
